Название криптовалюты,Номер в рейтинге,Ссылка на tlg,Веб-сайт
Bitcoin,Rank #1,-,https://bitcoin.org/
Ethereum,Rank #2,-,https://www.ethereum.org/
Tether,Rank #3,https://t.me/OfficialTether,https://tether.to
USD Coin,Rank #4,-,https://www.centre.io/usdc
BNB,Rank #5,https://t.me/binanceexchange,https://www.binance.com/
XRP,Rank #6,-,https://xrpl.org/
Cardano,Rank #7,https://t.me/Cardano,https://www.cardano.org
Binance USD,Rank #8,-,https://www.binance.com/en/busd
Solana,Rank #9,https://t.me/solana,https://solana.com
Polkadot,Rank #10,https://t.me/PolkadotOfficial,https://polkadot.network/
Dogecoin,Rank #11,-,http://dogecoin.com/
Avalanche,Rank #12,https://t.me/avalancheavax,https://avax.network/
Polygon,Rank #13,https://t.me/polygonofficial,https://polygon.technology/
Dai,Rank #14,-,http://www.makerdao.com/
Shiba Inu,Rank #15,-,https://shibatoken.com/
Uniswap,Rank #16,-,https://uniswap.org/blog/uni/
TRON,Rank #17,-,https://tron.network/
Wrapped Bitcoin,Rank #18,-,https://wbtc.network
Ethereum Classic,Rank #19,https://telegram.me/ethclassic,https://ethereumclassic.org/
UNUS SED LEO,Rank #20,https://t.me/bfxtelegram,https://www.bitfinex.com/
NEAR Protocol,Rank #21,https://t.me/cryptonear,https://near.org/
Litecoin,Rank #22,https://telegram.me/litecoin,https://litecoin.org/
Chainlink,Rank #23,https://t.me/chainlinkofficial,https://chain.link/
FTX Token,Rank #24,https://t.me/FTX_Official,https://ftx.com/
Cronos,Rank #25,https://t.me/CryptoComOfficial,https://www.crypto.com/en/chain
Cosmos,Rank #26,https://t.me/cosmosproject,https://cosmos.network/
Stellar,Rank #27,-,https://www.stellar.org
Flow,Rank #28,https://t.me/flow_blockchain,https://flow.com
Monero,Rank #29,https://telegram.me/monero,https://www.getmonero.org/
Bitcoin Cash,Rank #30,-,http://bch.info
Algorand,Rank #31,https://t.me/AlgorandFoundation,http://algorand.foundation
VeChain,Rank #32,https://t.me/vechain_official_english,https://www.vechain.org/
Filecoin,Rank #33,-,https://filecoin.io/
ApeCoin,Rank #34,-,http://apecoin.com/
Internet Computer,Rank #35,https://t.me/DFinity,https://dfinity.org
Decentraland,Rank #36,https://t.me/DecentralandTG,https://decentraland.org/
Hedera,Rank #37,https://t.me/hederahashgraph,https://www.hedera.com/
Tezos,Rank #38,https://t.me/tezosplatform,https://www.tezos.com/
The Sandbox,Rank #39,https://t.me/sandboxgame,https://www.sandbox.game/en/
Theta Network,Rank #40,-,https://www.thetatoken.org/
Aave,Rank #41,https://t.me/Aavesome,https://aave.com/
Axie Infinity,Rank #42,https://t.me/axieinfinity,https://axieinfinity.com/
Quant,Rank #43,https://t.me/quantnetworkannouncements,https://quant.network/
