App name,Revenue,US percent of revenue,Downloads,US percent of downloads
"Amazon India Shop, Pay, miniTV",-,-, Downloads:  > 10 000 000 ,20%
Garena Free Fire: 5th Anniv., Revenue:  > $20 000 000 ,31%, Downloads:  > 20 000 000 ,-
Shopee: 8.8 Liquidação,-,-, Downloads:  > 10 000 000 ,-
Candy Crush Saga, Revenue:  > $100 000 000 ,65%, Downloads:  > 10 000 000 ,-
快手, Revenue:  > $10 000 000 ,-, Downloads:  > 10 000 000 ,-
Save the Doge,-,-, Downloads:  > 5 000 000 ,-
Twitter, Revenue:  > $500 000 ,62%, Downloads:  > 10 000 000 ,12%
"YouTube: Watch, Listen, Stream", Revenue:  > $50 000 000 ,43%, Downloads:  > 10 000 000 ,20%
Roblox, Revenue:  > $50 000 000 ,54%, Downloads:  > 10 000 000 ,18%
Netflix, Revenue:  > $20 000 000 ,43%, Downloads:  > 10 000 000 ,16%
SHEIN-Fashion Shopping Online,-,-, Downloads:  > 10 000 000 ,16%
ZOOM Cloud Meetings, Revenue:  > $200 000 ,-, Downloads:  > 10 000 000 ,14%
Pinterest,-,-, Downloads:  > 10 000 000 ,13%
Easy Booster,-,-, Downloads:  > 10 000 000 ,-
Truecaller: Caller ID & Block, Revenue:  > $1 000 000 ,13%, Downloads:  > 10 000 000 ,-
Ludo King™, Revenue:  > $100 000 ,-, Downloads:  > 10 000 000 ,-
"Google Pay: Save, Pay, Manage",-,-, Downloads:  > 10 000 000 ,-
Meesho: Online Shopping App,-,-, Downloads:  > 10 000 000 ,-
Race Master 3D - Car Racing, Revenue:  > $200 000 ,54%, Downloads:  > 10 000 000 ,-
Snow Race!!,-,-, Downloads:  > 10 000 000 ,-
Google Maps,-,-, Downloads:  > 10 000 000 ,20%
Bridge Race, Revenue:  > $200 000 ,49%, Downloads:  > 10 000 000 ,-
Picsart Photo & Video Editor, Revenue:  > $5 000 000 ,51%, Downloads:  > 10 000 000 ,-
Disney+, Revenue:  > $50 000 000 ,41%, Downloads:  > 10 000 000 ,18%
"PhonePe UPI, Payment, Recharge",-,-, Downloads:  > 10 000 000 ,-
Duolingo - Language Lessons, Revenue:  > $20 000 000 ,51%, Downloads:  > 10 000 000 ,11%
Flipkart Online Shopping App,-,-, Downloads:  > 10 000 000 ,-
Shopsy Shopping App - Flipkart,-,-, Downloads:  > 10 000 000 ,-
Phone Cleaner,-,-, Downloads:  > 10 000 000 ,-
Twee -Save Twitter Video&GIF,-,-, Downloads:  > 10 000 000 ,-
BeReal. Your friends for real.,-,-, Downloads:  > 10 000 000 ,58%
Shoot Bubble - Pop Bubbles, Revenue:  > $10 000 ,23%, Downloads:  > 10 000 000 ,-
QR & Barcode Scanner, Revenue:  < $5 000 ,-, Downloads:  > 10 000 000 ,-
Amazon Prime Video, Revenue:  > $5 000 000 ,45%, Downloads:  > 10 000 000 ,21%
StarMaker: Sing and Play, Revenue:  > $2 000 000 ,15%, Downloads:  > 10 000 000 ,-
